[WARN] 2017-03-19 12:56:44,543 org.hibernate.internal.util.xml.DTDEntityResolver resolveEntity - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
[DEBUG] 2017-03-19 12:56:44,545 org.hibernate.internal.util.xml.DTDEntityResolver resolveEntity - Attempting to resolve on classpath under org/hibernate/
[DEBUG] 2017-03-19 12:56:44,548 org.hibernate.internal.util.xml.DTDEntityResolver resolveOnClassPath - Located [http://hibernate.sourceforge.net/hibernate-configuration-3.0.dtd] in classpath
[DEBUG] 2017-03-19 12:56:44,590 org.hibernate.cfg.Configuration addProperties - hibernate.connection.driver_class=org.hsqldb.jdbcDriver
[DEBUG] 2017-03-19 12:56:44,770 org.hibernate.cfg.Configuration addProperties - hibernate.connection.url=jdbc:hsqldb:hsql://localhost/
[DEBUG] 2017-03-19 12:56:44,773 org.hibernate.cfg.Configuration addProperties - hibernate.connection.username=sa
[DEBUG] 2017-03-19 12:56:44,776 org.hibernate.cfg.Configuration addProperties - connection.password=
[DEBUG] 2017-03-19 12:56:44,780 org.hibernate.cfg.Configuration addProperties - connection.pool_size=1
[DEBUG] 2017-03-19 12:56:44,783 org.hibernate.cfg.Configuration addProperties - hibernate.dialect=org.hibernate.dialect.HSQLDialect
[DEBUG] 2017-03-19 12:56:44,786 org.hibernate.cfg.Configuration addProperties - show_sql=true
[DEBUG] 2017-03-19 12:56:44,789 org.hibernate.cfg.Configuration addProperties - hbm2ddl.auto=update
[DEBUG] 2017-03-19 12:56:44,793 org.hibernate.cfg.Configuration parseMappingElement - Session-factory config [null] named class [com.namedquerydemo.Employee] for mapping
[INFO] 2017-03-19 12:56:44,836 org.hibernate.cfg.Configuration doConfigure - HHH000041: Configured SessionFactory: null
[DEBUG] 2017-03-19 12:56:44,839 org.hibernate.cfg.Configuration doConfigure - Properties: {hibernate.connection.password=, java.runtime.name=Java(TM) SE Runtime Environment, sun.boot.library.path=C:\Program Files\Java\jdk1.8.0_112\jre\bin, java.vm.version=25.112-b15, hibernate.connection.username=sa, java.vm.vendor=Oracle Corporation, java.vendor.url=http://java.oracle.com/, path.separator=;, java.vm.name=Java HotSpot(TM) 64-Bit Server VM, file.encoding.pkg=sun.io, user.script=, user.country=US, sun.java.launcher=SUN_STANDARD, sun.os.patch.level=, java.vm.specification.name=Java Virtual Machine Specification, user.dir=C:\Users\YUVRAJ\git\log4j\NamedQueryDemoSimpleWithLog4j, java.runtime.version=1.8.0_112-b15, java.awt.graphicsenv=sun.awt.Win32GraphicsEnvironment, hbm2ddl.auto=update, java.endorsed.dirs=C:\Program Files\Java\jdk1.8.0_112\jre\lib\endorsed, os.arch=amd64, java.io.tmpdir=C:\Users\YUVRAJ\AppData\Local\Temp\, line.separator=
